CustomerID,CompanyName,CustomerType,JoinDate,Email,PhoneNumber,ContactFirstName,ContactLastName,HeadCount
1,Sanchez-Taylor,SME,2012-02-01,rhodespatricia@sanchez-taylor.com,(900)613-3890x83863,Danielle,Johnson,66
2,Wolfe LLC,SME,2012-02-03,eric51@wolfellc.com,855-394-0781,Lisa,Smith,11
3,"Mcclure, Ward and Lee",SME,2012-01-26,andrea.calderon@mcclurewardandlee.com,+1-634-313-1647x52553,Andrea,Calderon,188
4,"Sanchez, Ford and Nelson",SME,2012-10-10,gabriellecameron@sanchezfordandnelson.com,505.964.1395,Chelsea,Jackson,49
5,Thomas-Taylor,SME,2012-05-25,julie69@thomas-taylor.com,828.371.0122,Randall,Rocha,36
6,Rice-Maddox,Enterprise,2012-11-10,paul.carlson@rice-maddox.com,9182451462,Paul,Carlson,3140
7,Stanton-Gill,SME,2012-08-21,harrellkenneth@stanton-gill.com,+1-332-752-8809x570,Stephanie,Liu,21
8,Allen-Allen,SME,2012-07-26,natasha.decker@allen-allen.com,417-618-2278,Natasha,Decker,106
9,Hickman Ltd,Enterprise,2012-09-02,jenniferross@hickmanltd.com,(578)571-3315x098,Allison,Obrien,3162
10,Perez Inc,SME,2012-11-09,adrian.zimmerman@perezinc.com,983-547-3829,Adrian,Zimmerman,21
11,Davis Ltd,SME,2012-06-19,agomez@davisltd.com,001-801-406-5133x3872,Kristen,Aguirre,30
12,Ramos PLC,SME,2012-02-05,joshua.wright@ramosplc.com,+1-880-213-2677x3602,Joshua,Wright,107
13,Mitchell-Horton,SME,2012-03-20,smoore@mitchell-horton.com,4982050097,Tricia,Baker,51
14,Jones Inc,SME,2012-09-03,susan.miller@jonesinc.com,361.893.9909,Susan,Miller,181
15,Donovan-Harris,SME,2012-09-18,diane.cunningham@donovan-harris.com,946.324.7510,Diane,Cunningham,165
16,Anderson-Bailey,SME,2012-01-26,charles.lewis@anderson-bailey.com,254.627.8498,Charles,Lewis,51
17,Baker Inc,SME,2012-09-18,josephjacobs@bakerinc.com,248.274.0164,Sarah,Garcia,173
18,Martin-Ramos,SME,2012-09-14,matthew.anderson@martin-ramos.com,+1-401-812-8059,Matthew,Anderson,185
19,Nolan and Sons,SME,2012-09-05,david.parker@nolanandsons.com,+1-815-586-9232x26025,David,Parker,68
20,Reyes Inc,SME,2012-05-07,dwalker@reyesinc.com,730.836.5414,Joseph,Cobb,112
21,Crosby-Wilson,SME,2012-12-20,erin.anthony@crosby-wilson.com,(894)301-9655,Erin,Anthony,155
22,Williams-Graham,SME,2012-08-30,michaeljones@williams-graham.com,895-814-8465x64823,Paul,Ray,64
23,"Carroll, Sullivan and Bass",SME,2012-08-09,justin69@carrollsullivanandbass.com,577-673-8721x48951,Erica,Orr,174
24,Williams Group,SME,2012-07-29,gibsonolivia@williamsgroup.com,001-967-263-2016x328,Jeffrey,Gonzalez,45
25,Bryant Group,SME,2012-10-24,stephanie79@bryantgroup.com,968.372.7743x48734,Angela,Lowery,159
26,Flores-Fernandez,SME,2012-02-25,edwardreyes@flores-fernandez.com,516.865.8760,Jennifer,Young,102
27,"Smith, Gilmore and Johnston",SME,2012-06-23,perry.carrillo@smithgilmoreandjohnston.com,(946)268-8937x346,Perry,Carrillo,140
28,Ramsey-Pittman,SME,2012-12-01,paul.caldwell@ramsey-pittman.com,+1-280-669-9016x272,Paul,Caldwell,38
29,Rogers-Hobbs,SME,2012-04-11,nicholas.lewis@rogers-hobbs.com,(241)470-8053x10033,Nicholas,Lewis,184
30,Elliott and Sons,SME,2012-06-18,john.wells@elliottandsons.com,852-899-1241x904,John,Wells,108
31,"Vaughn, Burton and Garcia",SME,2012-10-17,melissa91@vaughnburtonandgarcia.com,001-205-886-5185,Shelly,Gonzalez,145
32,Reid-Poole,SME,2012-09-15,lynn.garcia@reid-poole.com,(628)949-8776x94531,Lynn,Garcia,184
33,"Barnett, Rogers and Snyder",SME,2012-10-18,hunter35@barnettrogersandsnyder.com,949-948-0831x36783,John,Marshall,174
34,Walker-Holt,SME,2012-07-21,elizabeth57@walker-holt.com,(768)355-7444x313,Shane,Smith,121
35,"Lopez, Robinson and Washington",SME,2012-09-21,julia.tapia@lopezrobinsonandwashington.com,001-689-241-3435x24082,Julia,Tapia,194
36,"Raymond, Little and Mullins",SME,2012-06-20,salasaudrey@raymondlittleandmullins.com,252.404.7116x719,Terri,Tran,138
37,Miller-Wright,SME,2012-07-22,edward.hart@miller-wright.com,(299)393-8677x49649,Edward,Hart,170
38,Baker Inc,SME,2012-02-27,stacey.clark@bakerinc.com,(681)220-6797,Stacey,Clark,49
39,"Heath, Jones and Hall",SME,2012-04-06,jesse.mann@heathjonesandhall.com,+1-693-661-8324x2102,Jesse,Mann,148
40,,Individual,2012-09-12,scott.harrison@yahoo.com,288-377-1906x594,Scott,Harrison,145
41,"Matthews, Smith and Hubbard",SME,2012-07-08,barbara27@matthewssmithandhubbard.com,342.496.7175x655,Jeremy,Craig,135
42,Bates-Morales,Enterprise,2012-04-27,gibsonleonard@bates-morales.com,001-268-508-7603x85977,Mark,Steele,2719
43,Kim-Wolfe,SME,2012-02-14,joseph.anderson@kim-wolfe.com,+1-393-424-8086x1317,Joseph,Anderson,155
44,"Thornton, Perry and Olson",SME,2012-06-21,tyrone.moran@thorntonperryandolson.com,682.263.9821x465,Tyrone,Moran,197
45,"Carpenter, Keller and Grimes",SME,2012-06-11,justin.evans@carpenterkellerandgrimes.com,855.288.6753x3963,Justin,Evans,146
46,Hughes-Alvarado,SME,2012-10-26,louis.kennedy@hughes-alvarado.com,(370)928-9517,Louis,Kennedy,178
47,"Booker, Jones and Harrington",SME,2012-04-06,alexis.thomas@bookerjonesandharrington.com,+1-561-658-6578x091,Alexis,Thomas,77
48,Good-Hodges,SME,2012-11-25,wallaceheather@good-hodges.com,8504455623,Wendy,Francis,64
49,Harvey-Allen,SME,2012-11-29,george.miller@harvey-allen.com,(437)347-4074,George,Miller,192
50,"Evans, Hayden and Vaughn",SME,2012-12-30,mbruce@evanshaydenandvaughn.com,213.969.5944x0640,Scott,Reed,122
51,Lawson LLC,SME,2012-09-04,danaoliver@lawsonllc.com,001-821-404-7095x2145,Marissa,Leach,40
52,Schmidt-Mcintyre,SME,2012-10-30,james.buchanan@schmidt-mcintyre.com,374-851-7123x685,James,Buchanan,96
53,Richardson-Curry,Enterprise,2012-04-05,alexander.herrera@richardson-curry.com,(651)837-0985x9317,Alexander,Herrera,2004
54,Torres Group,Enterprise,2012-02-12,darryl.williams@torresgroup.com,482.867.5869,Darryl,Williams,2075
55,"Russell, Lynn and Johnson",Enterprise,2012-05-15,diana.bass@russelllynnandjohnson.com,373.951.5850x643,Diana,Bass,2906
56,"Harper, Smith and Buchanan",Enterprise,2012-03-29,christopher.lewis@harpersmithandbuchanan.com,(793)418-3933,Christopher,Lewis,2481
57,Garrison-Thomas,SME,2012-02-17,kristina.carlson@garrison-thomas.com,621-202-0539x502,Kristina,Carlson,148
58,Reese Group,SME,2012-08-04,gstrickland@reesegroup.com,883.390.8470x076,David,Fisher,72
59,Lam LLC,SME,2012-08-19,cameronhill@lamllc.com,+1-856-398-4789,Tracy,Browning,58
60,"Curtis, Mack and Le",Enterprise,2012-05-31,russellbeasley@curtismackandle.com,366.315.6545x271,Laura,Wilson,3102
61,"Watson, Anderson and Brown",SME,2012-11-14,elizabeth65@watsonandersonandbrown.com,001-360-749-4519x83273,Christopher,Davis,196
62,Andrews-Aguirre,Enterprise,2012-11-04,megan.richardson@andrews-aguirre.com,001-499-480-9402x44550,Megan,Richardson,696
63,Figueroa Inc,SME,2012-06-02,reesejason@figueroainc.com,625-945-9910x22901,Ashley,Morales,37
64,Perry-Lewis,SME,2012-07-06,ebony.tucker@perry-lewis.com,(261)249-7840x369,Ebony,Tucker,147
65,Duran LLC,SME,2012-03-05,david76@duranllc.com,(783)888-5160x6071,James,Dougherty,56
66,Roberts-Sullivan,SME,2012-12-18,ashley.mckinney@roberts-sullivan.com,(897)351-6136,Ashley,Mckinney,29
67,Walker-Maxwell,SME,2012-01-28,randy.collins@walker-maxwell.com,+1-418-483-5523x1243,Randy,Collins,22
68,Bean Ltd,SME,2012-06-29,kathleen.rios@beanltd.com,001-699-279-9552x71774,Kathleen,Rios,33
69,Hayes-Brown,SME,2012-10-30,michael.jones@hayes-brown.com,219-998-6798,Michael,Jones,52
70,Morris Group,SME,2012-10-23,susanhayes@morrisgroup.com,618-820-3778x89255,Regina,Armstrong,64
